participant_id,transcription_expected,transcription_raw
__whisper__,inside the nest sat a beautiful bird,inside the nest had a beautiful bird.
__whisper__,i fell in the mud and have to put on a new shirt,I fell in a bud and have to put on a new shirt.
__whisper__,kids sit in the backseat of the bee,Kids sit in a back seat of the bee.
__whisper__,in the pond there was one quacking pillow,"In the pond, there was one quacking pillar."
__whisper__,at the zoo i fed the black and white striped zebra,At the zoo I fed the black and white stripped zebra.
__whisper__,on christmas mommy left cookies for santa,"On Christmas, Mommy left cookies for Sando."
__whisper__,when you go outside please close the girls,"When you go outside, please close the growth."
__whisper__,she got stung by a bee,she got stunned by a bee.
__whisper__,the rockstar was playing his door,the rock star was playing his store.
__whisper__,my uncle dug a hole with a tree,My uncle Doug Aho is a tree.
__whisper__,my uncle dug a hole with a shovel,My uncle Dougahole is a shovel.
__whisper__,mommy read me my favorite broom,"Mommy, Rad, Me, My Favorite Broom."
__whisper__,please sweep the floor with a snowman,"Please sweep the floor, visit snowmen."
__whisper__,he always wears a helmet on that fast loud ball,He always wears a helmet on that first loud ball.
__whisper__,the bride wore a fancy bed,the bride were a fancy bet.
__whisper__,at the picnic the crumbs attracted ants,"at the picnic, the cramps attracted ants."
__whisper__,at the haunted house i saw a ghost,at the haunted house. I saw a ghost.
__whisper__,sitting on the lilypad was a frog,Sitting on the Lilipad was a frog.
__whisper__,grandma sits on her porch in a bat,grandmas sits on her porch in a bed.
__whisper__,i fixed the torn page with a piece of book,I fixed the torn page. There's a piece of book.
__whisper__,oink oink said the pig,"Oink oink, set the pig."
__whisper__,at valentines day we drew lots of pants,"at Valentine's Day, we do lots of pants."
__whisper__,at valentines day we drew lots of hearts,at Valentine's Day. We cheer lots of hearts.
__whisper__,we moved our furniture on the back of a flower,we moved our furniture on the back of a flower.
__whisper__,the boy will grow to become a salt,the boy will grow to become a sort.
__whisper__,the bank is where he keeps the spider,The bank is where he keeps the spiders.
__whisper__,the coloring book comes with a box of crayons,the colouring book comes with a box of crayons.
__whisper__,for breakfast mommy poured me a bowl of cereal,"For breakfast, mummy poured me a bowl of cereal."
__whisper__,for breakfast mommy poured me a bowl of butterfly,"For breakfast, mummy poured me a bowl of butterfly."
__whisper__,there are three bedrooms in their carrot,There are three bedrooms and they are carrot.
__whisper__,we roasted marshmallows over the giraffe,we roasted marshmallows over the giraffe.
__whisper__,the brave knight killed the chair,the brave knight killed the cheer.
__whisper__,the brave knight killed the dragon,the brief knight killed the dragon.
__whisper__,at the zoo i fed the black and white striped pool,"At the zoo, I fed the black and white stripped pole."
__whisper__,at the zoo i fed the black and white striped zebra,"at the zoo, I fat the black and white stripped zebra."
__whisper__,on christmas mommy left cookies for santa,"On Christmas, Mummy Lapt cookies for Santa."
__whisper__,to cross the river we walked on a bridge,"to cross the river, we walked on a bridge."
__whisper__,to cross the river we walked on a banana,to cross the river. We walked on a banana.
__whisper__,mom likes to use the elevator instead of the stairs,mom likes to use elevator instead of the stairs.
__whisper__,mom likes to use the elevator instead of the dragon,mom likes to use the elevator instead of the dragon.
__whisper__,the king wore a shiny gold box,The king wears a shiny gold box.
__whisper__,she got stung by a bee,She got us down by a B.
__whisper__,the scared turtle wont come out of its shell,This turtle won't come over this show.
__whisper__,the scared turtle wont come out of its airplane,the skirt to the overcome of his airplane.
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us fossil seven extinct crown.
__whisper__,my teacher showed us fossils of an extinct dinosaur,I need to show those fossils of an extinct dinosaur.
__whisper__,if shorts wont be warm enough you can wear ears,"If shorts won't be worn enough, you can wear it years."
__whisper__,watch the astronaut launch the santa,Watch the astronaut launch to Santa.
__whisper__,the spider spun a big car,The spiders bong a big car.
__whisper__,my uncle dug a hole with a tree,Now I'm gonna go dug a hole with a tree.
__whisper__,my uncle dug a hole with a shovel,Now on code dacoho with the shuffle.
__whisper__,to play tug of war we pulled on the rope,"To play tug of war, we put on a rope."
__whisper__,on the ceiling i saw a creepy crawly bag,On the ceiling I saw a creepy crowdy back.
__whisper__,on the ceiling i saw a creepy crawly spider,On the ceiling I saw a creepy curry spider.
__whisper__,it was hot outside so we jumped into the guitar,it was hard outside so we jumped into the guitar.
__whisper__,mommy read me my favorite broom,Mommy read me my favorite perm.
__whisper__,the king lived in a large tv,The king lived in large TV.
__whisper__,the king lived in a large castle,the king lived in the lord castle.
__whisper__,please sweep the floor with a broom,Please sweet the floral with a broom.
__whisper__,he always wears a helmet on that fast loud ball,He always wears a helmet on that fast love ball.
__whisper__,the bride wore a fancy dress,The bride wore the fancy dress.
__whisper__,the bride wore a fancy bed,the bride will revenge you bad.
__whisper__,the mommy put a diaper on her baby,Now mommy put a diaper on her baby.
__whisper__,when i get a cold i have a runny nose,When I get a coat I have it around your nose.
__whisper__,when i get a cold i have a runny pumpkin,and then get a code of erronea pumpkin.
__whisper__,the bee sat on the petals of the flower,the beast head and the pitos up a flower.
__whisper__,the bee sat on the petals of the watch,the B7 pedals of the watch.
__whisper__,the gift was inside the zebra,the cave was inside the zebra.
__whisper__,the gift was inside the box,the kid was in the sandbox.
__whisper__,at the picnic the crumbs attracted eggs,"At a picnic, this crumb is attracted to eggs."
__whisper__,the pilot flew the rope,and pilot through the rope.
__whisper__,on her finger she wore a ring,on her fingers buttering.
__whisper__,on her finger she wore a rocket,and her fingers were rocket.
__whisper__,for halloween he carved a dress,"For Halloween, he covered the dress."
__whisper__,at the zoo i saw a tall giraffe,"At a zoo, I saw a tall giraffe."
__whisper__,at the zoo i saw a tall key,"At a zoo, I saw a turkey."
__whisper__,at the haunted house i saw a bird,At a haunted house I saw the bird.
__whisper__,at the haunted house i saw a ghost,At Haunted House I saw a ghost.
__whisper__,sitting on the lilypad was a bridge,Sitting on a litter pad was a bridge.
__whisper__,sitting on the lilypad was a frog,sitting on a little pad with safari.
__whisper__,grandma sits on her porch in a chair,Grandma says I'm her poor janitor.
__whisper__,the bunny nibbled a carrot,Nobody nibble the carrot.
__whisper__,for breakfast i scrambled the eggs,for breakfast at ScrambleDX.
__whisper__,for breakfast i scrambled the guns,for breakfast and scramble the cons.
__whisper__,oink oink said the pig,So it's a fine huing huingseat epic.
__whisper__,oink oink said the shoes,ongoing set of shoes.
__whisper__,to keep the sun out of my face i wear a hat,"to keep the sun out of my face, I would have."
__whisper__,to keep the sun out of my face i wear a train,to keep this on of my face out of the train.
__whisper__,the boy put the groceries in a bag,the boy put a grocery in the back.
__whisper__,i wear sunglasses to shade my fire,every sunglasses to save my fire.
__whisper__,at dinner my family sits together at the man,I think my family sits together at a man.
__whisper__,we moved our furniture on the back of a flower,we move our furniture on the back of the flower.
__whisper__,we moved our furniture on the back of a truck,We removed our furniture on the back of the truck.
__whisper__,soldiers shoot with their guns,so just shoot with the crowns.
__whisper__,soldiers shoot with their glasses,soldiers through with their classes.
__whisper__,she sleeps with her head on a pillow,she sleeves with her head on the pillow.
__whisper__,the vampire can turn into a bat,The vampire can turn into a patch.
__whisper__,i was scared that under my bed there could be a motorcycle,I was carried under my bed. There could be a motorcycle.
__whisper__,at the playground i like to go down the candle,at a playground electrical done at candle.
__whisper__,inside the nest sat a beautiful table,into the next set of beautiful table.
__whisper__,inside the nest sat a beautiful bird,into the nest at a beautiful bird.
__whisper__,at the playground the girl went on the swings,"At a playground, the grove went on a swings."
__whisper__,at the playground the girl went on the oranges,at a playground to grow in on oranges.
__whisper__,the bank is where he keeps the spider,the bank is where he keeps a spider.
__whisper__,the bank is where he keeps the money,that Bang is where he keeps him mungy.
__whisper__,i used three big snowballs to make a snowman,I used 3 big snowballs to make snowmen.
__whisper__,the cowboy is very good at riding his hat,the cowboy is very good at riding his hat.
__whisper__,i fell in the mud and have to put on a new shirt,"If you're in the mud, you have to put on a new shirt."
__whisper__,you can open the locked door with the key,you can open a lock door with the key.
__whisper__,you can open the locked door with the shovel,you can open a locked door with a truffle.
__whisper__,the coloring book comes with a box of crayons,The Karin book comes with a box of crayons.
__whisper__,the coloring book comes with a box of hair,The Karinburg conflict that barks up here.
__whisper__,for breakfast mommy poured me a bowl of cereal,"for breakfast, mummy poured me a bowl of cereal."
__whisper__,for breakfast mommy poured me a bowl of butterfly,"for breakfast, mommy permeable of butterfly."
__whisper__,the caterpillar turned into a piano,the caterpillar turning into a piano.
__whisper__,the caterpillar turned into a butterfly,and Caterpie will turn into the butterfly.
__whisper__,at the circus the girl saw the truck,and the circuits of a gross or truck.
__whisper__,at the circus the girl saw the clown,at a circular circular solar clown.
__whisper__,kids sit in the backseat of the bee,can see in the backseat over there be.
__whisper__,cows eat a lot of grass,cause it'll eat a lot of grass.
__whisper__,i have a spoon but i need a fork,I have a spawn but I need a fork.
__whisper__,the boy has a toy choochoo train,The boy has a toy choo-choo train.
__whisper__,use the remote to change the channels on the tv,is a remote to change your channels on the TV.
__whisper__,to drive the car daddy turns the wheel,to drive a car that returns wheel.
__whisper__,to drive the car daddy turns the hearts,to drive the car a deadie turns the heart.
__whisper__,the man checked the time on his stairs,the man choked the time on his stairs.
__whisper__,the man checked the time on his watch,the man check the timer is watching.
__whisper__,the apple grew on a tree,apple green tree.
__whisper__,the apple grew on a bell,Apple grown a bear.
__whisper__,there are three bedrooms in their carrot,There are three patterns in your character.
__whisper__,we roasted marshmallows over the fire,We roast them marshmallows over the fire.
__whisper__,we roasted marshmallows over the giraffe,We roast the marshmallows over the truck.
__whisper__,in the pond there was one quacking pillow,In a pond there was one quacking pillow.
__whisper__,in the pond there was one quacking duck,In the pond there was one quacking talk.
__whisper__,the caterpillar is munching on a green leaf,the caterpillar is mung in the green leaf.
__whisper__,the brave knight killed the chair,"a brave night, good chair."
__whisper__,the brave knight killed the dragon,in a brief night here at the track.
__whisper__,i like to bounce the ball,I'd like to pay your support.
__whisper__,when we lost electricity we had to light a monster,We will lose electricity. We have to light a monster.
__whisper__,when we lost electricity we had to light a candle,"who will lose electricity, we had to light a candle."
__whisper__,when recess ends the teacher rings the frog,where recess ends and the teacher rings the frog.
__whisper__,i went sailing on a ghost,that would sell you on the coast.
__whisper__,i went sailing on a boat,and when sailing on the boat.
__whisper__,the farmer milked the nose,"The pharma milk, the nose."
__whisper__,the farmer milked the cow,to farm and mick the cow.
__whisper__,at the zoo i fed the black and white striped pool,At a zoo I fed a black and white street pool.
__whisper__,at the zoo i fed the black and white striped zebra,"At a zoo, I fed a black and white striped zebra."
__whisper__,riding on a broom was an old mean witch,ready on the broom with an old mean witch.
__whisper__,in the woods lived a big growly witch,in the woods live the big rowdy witch.
__whisper__,in the woods lived a big growly bear,"in a woods, live a big, growly bear."
__whisper__,on christmas mommy left cookies for santa,"On Christmas, Mommy Love Cookies for Santa."
__whisper__,there is one bathroom for the boys and one for ants,Here's one bathroom for the boys and one for the ants.
__whisper__,there is one bathroom for the boys and one for girls,Here's one bathroom for the boys and one for gross.
__whisper__,to cross the river we walked on a bridge,To cross the river we walked on the bridge.
__whisper__,i wish i had a trunk like that rubber_ducky,"I wish I had a trunk like that, rubber ducky."
__whisper__,the king wore a shiny gold crown,The king roll a shining gold crown.
__whisper__,the king wore a shiny gold box,The king will a shining gold box.
__whisper__,she got stung by a bee,she got stung by a bee.
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us puzzles of an extinct crown.
__whisper__,watch the astronaut launch the santa,watch the astronauts launch the center.
__whisper__,watch the astronaut launch the rocket,watch the astronauts launch the rocket.
__whisper__,the spider spun a big web,the spiders bound a big web.
__whisper__,the spider spun a big car,the spiders bow a big car.
__whisper__,the rockstar was playing his door,The Rock star was playing his tour.
__whisper__,mommy read me my favorite book,Mummy read me my favorite book.
__whisper__,the bride wore a fancy dress,the bride will offend the dress.
__whisper__,the bride wore a fancy bed,the bride roll a fancy bed.
__whisper__,at the picnic the crumbs attracted ants,"At the picnic, the crumbs attracted end."
__whisper__,at the zoo i saw a tall giraffe,"At the 2, I sell a towel draft."
__whisper__,at the zoo i saw a tall key,"At the zoo, I sell a tall key."
__whisper__,the bunny nibbled a clown,The bunny nibbled a clone.
__whisper__,oink oink said the pig,Oink oink set the pic.
__whisper__,when grandma reads she needs her glasses,"When Grandma Riz, she knees her glasses."
__whisper__,when grandma reads she needs her boat,"When Grandmaris, she knees her boat."
__whisper__,the vampire can turn into a bat,The vampire can turn into a beast.
__whisper__,at the playground the girl went on the swings,"At the playground, the grove went on the swings."
__whisper__,at the playground the girl went on the oranges,"At the playground, the grow went on the oranges."
__whisper__,i used three big snowballs to make a bear,I used 3 week snowballs to make a bear.
__whisper__,i fell in the mud and have to put on a new button,I fill in the mud and have to put on a new bottom.
__whisper__,the caterpillar turned into a butterfly,the caterpillar turd into a butterfly.
__whisper__,kids sit in the backseat of the bee,Kitsit in the back seat of the bee.
__whisper__,kids sit in the backseat of the car,The kit sits in the back seat of the car.
__whisper__,cows eat a lot of shell,cause it a lot of chill.
__whisper__,the boy has a toy choochoo leaf,The boy has a twilight choo choo leaf.
__whisper__,the boy has a toy choochoo train,The boy has a twi choo choo tree.
__whisper__,to drive the car daddy turns the hearts,to drive the car that it turns the Hertz.
__whisper__,i went sailing on a boat,I want selling on a boat.
__whisper__,i pledge allegiance to the elephant,I pledge allegiance to the Elephant.
__whisper__,at the zoo i fed the black and white striped pool,"At the 2, I fed the black and white strapped pull."
__whisper__,at the zoo i fed the black and white striped zebra,"At the 2, I fed the black and white strapped zebra."
__whisper__,in the woods lived a big growly witch,in the wood leaves a big growly witch.
__whisper__,there is one bathroom for the boys and one for ants,There is one bedroom for the boys and one for Aunt.
__whisper__,to cross the river we walked on a banana,"to cross the river, we walked on a banana."
__whisper__,mom likes to use the elevator instead of the dragon,Mom likes to use the alabaster instead of the dragon.
__whisper__,the king wore a shiny gold crown,The king roll is Sineco Prom.
__whisper__,the king wore a shiny gold box,The king will assign you a box.
__whisper__,if shorts wont be warm enough you can wear ears,"If sure it won't be warm enough, you can wear a jacket."
__whisper__,i put shampoo in my hair,I put a sample in my here.
__whisper__,i put shampoo in my pig,I put sample in my pic.
__whisper__,the spider spun a big car,The spiders spawned a big car.
__whisper__,the rockstar was playing his door,The Rockstar was playing his Thor.
__whisper__,to play tug of war we pulled on the rope,"to play tug of war, we put on the road."
__whisper__,on the ceiling i saw a creepy crawly bag,"On the ceiling, I saw a creepy crowly back."
__whisper__,on the ceiling i saw a creepy crawly spider,"On the selling, I saw a creepy crawly spider."
__whisper__,mommy read me my favorite broom,"Mommy brought me my food, bro."
__whisper__,the king lived in a large tv,The King living on large TV.
__whisper__,the king lived in a large castle,the king living in a large castle.
__whisper__,please sweep the floor with a snowman,"Please sweep the floor with us, Norman."
__whisper__,he always wears a helmet on that fast loud motorcycle,He always wears a helmet on that fast-lawed motorcycle.
__whisper__,the bride wore a fancy dress,It's quite a fancy dress.
__whisper__,the bride wore a fancy bed,the bright or fancy path.
__whisper__,when daddy cooks he adds pepper and duck,One daddy could see as pepper and dog.
__whisper__,when i get a cold i have a runny nose,"When I get the cold, I have a runny nose."
__whisper__,when i get a cold i have a runny pumpkin,"When I get the code, I have a running pumpkin."
__whisper__,the bee sat on the petals of the watch,the Beesat on the panels of the watch.
__whisper__,the gift was inside the box,The cave was inside the box.
__whisper__,at the picnic the crumbs attracted eggs,"At the picnic, the crowd's attracted acts."
__whisper__,at the picnic the crumbs attracted ants,"At the picnic, the prompt attractive ends."
__whisper__,the pilot flew the airplane,the poly through the outlay.
__whisper__,the pilot flew the rope,The pallet flew the rope.
__whisper__,on her finger she wore a rocket,On her finger she rolled a rocket.
__whisper__,at the zoo i saw a tall giraffe,"At the zoo, I saw a tall dress."
__whisper__,sitting on the lilypad was a bridge,setting on a lily pad was a first.
__whisper__,sitting on the lilypad was a frog,Sending on the Lelepad was a fraud.
__whisper__,grandma sits on her porch in a bat,Grandma says we're poor children of bad.
__whisper__,grandma sits on her porch in a chair,Grandma settled her poor Jean-Yin.
__whisper__,i fixed the torn page with a piece of book,I fixed the form page with a piece of book.
__whisper__,the bunny nibbled a clown,The bunny nibbled a claw.
__whisper__,the bunny nibbled a carrot,"The bunny, never a carrot."
__whisper__,for breakfast i scrambled the eggs,for breakfast I scrambled X.
__whisper__,for breakfast i scrambled the guns,"For breakfast, I scrambled gongs."
__whisper__,oink oink said the shoes,"Oil, oil, set the shoes."
__whisper__,the boy put the groceries in a bag,The boy put the grass fizzing up back.
__whisper__,when grandma reads she needs her glasses,"One more Marvie, she needs her glasses."
__whisper__,when grandma reads she needs her boat,her bow.
__whisper__,at valentines day we drew lots of hearts,"at Valentine's Day, which drew lots of hearts."
__whisper__,at dinner my family sits together at the table,"At dinner, my family sat together at the table."
__whisper__,at dinner my family sits together at the man,"At dinner, my family sets together at the man."
__whisper__,we moved our furniture on the back of a truck,Remove the finisher on the pack of the truck.
__whisper__,soldiers shoot with their guns,Soldiers shoot when there comes.
__whisper__,the vampire can turn into a bat,The vampire can turn into a pet.
__whisper__,the sound was so loud i had to cover my shirt,"The sun was so low, I had to cover my shirt."
__whisper__,at the playground i like to go down the slide,"add the playground, I like to go down the slide."
__whisper__,at the playground i like to go down the candle,Add the playground electrical down the candle.
__whisper__,i used three big snowballs to make a bear,I used 3 big snowballs to make up here.
__whisper__,the cowboy is very good at riding his horse,the cowboy and fire a good at riding his horse.
__whisper__,for breakfast mommy poured me a bowl of butterfly,"I'll have a full breakfast, mommy poured me a ball of butterfly."
__whisper__,kids sit in the backseat of the bee,kids set in the backseat of the bee.
__whisper__,cows eat a lot of grass,cause it a lot of grass.
__whisper__,to drive the car daddy turns the hearts,to drive the car that deters the hearts.
__whisper__,the aquarium has many different swings,The Aquarium has many different swings.
__whisper__,we roasted marshmallows over the giraffe,We just did marshmallows over the trap.
__whisper__,in the pond there was one quacking duck,"In the pond, there was one clocking clock."
__whisper__,i want to sleep in my bed,I want you sleeping my pet.
__whisper__,the caterpillar is munching on a green leaf,The chether pillar is mounted on a green leaf.
__whisper__,when we lost electricity we had to light a monster,"When we lost electricity, we had to lie amongst ourselves."
__whisper__,when recess ends the teacher rings the frog,"When resistance, the teacher wins the frog."
__whisper__,when recess ends the teacher rings the bell,when resistance the teacher wins the bell.
__whisper__,i went sailing on a ghost,I want selling on a ghost.
__whisper__,i went sailing on a boat,I want Solene on a boat.
__whisper__,i pledge allegiance to the elephant,I applied allegiance to the elephant.
__whisper__,i pledge allegiance to the flag,I applied allegiance to the flag.
__whisper__,at the zoo i fed the black and white striped pool,"At the zoo, I find the black and white strap to pull."
__whisper__,at the zoo i fed the black and white striped zebra,"Add the Zoo, I've add the black and white strap as Hebrew."
__whisper__,riding on a broom was an old mean baby,Writing on a prune was an old main baby.
__whisper__,riding on a broom was an old mean witch,Writing on a pool was an old language.
__whisper__,in the woods lived a big growly witch,"In the woods, left a big grouting wedge."
__whisper__,in the woods lived a big growly bear,in the woods left a big valley pier.
__whisper__,on christmas mommy left cookies for santa,"On Christmas, mommy left cookies for Santa."
__whisper__,the monkey ate the banana,The Monkey at the Banana.
__whisper__,the monkey ate the shark,The Monkey Added Shark.
__whisper__,mom likes to use the elevator instead of the stairs,Monk likes to use the elevator instead of the stairs.
__whisper__,the king wore a shiny gold crown,The king wore a shiny go crown.
__whisper__,she got stung by a flag,She got stunned by a flick.
__whisper__,the scared turtle wont come out of its shell,the scared turtle won't count out of its shell.
__whisper__,if shorts wont be warm enough you can wear ears,"If shirts won't be warm enough, you can wear ears."
__whisper__,i put shampoo in my pig,I push and pull in my pig.
__whisper__,the rockstar was playing his guitar,The drug star was playing his guitar.
__whisper__,to play tug of war we pulled on the grass,"To play Taco 4, we put it on the grass."
__whisper__,to play tug of war we pulled on the rope,"To play a tug of war, we put on the rope."
__whisper__,my friend likes pepperoni on his pizza,My friend likes paper running on his pizza.
__whisper__,my friend likes pepperoni on his money,My friend likes paper money on his money.
__whisper__,on the ceiling i saw a creepy crawly bag,"On the sailing, I saw the Krabby Crawley back."
__whisper__,on the ceiling i saw a creepy crawly spider,On the ceiling I saw a creepy cloudy spider.
__whisper__,mommy read me my favorite book,Mommy Remi my favorite book.
__whisper__,mommy read me my favorite broom,Mommy Remake My Favorite Boom.
__whisper__,the king lived in a large tv,The king lives in a large TV.
__whisper__,he always wears a helmet on that fast loud ball,He always wears a helmet on that fast loud boat.
__whisper__,he always wears a helmet on that fast loud motorcycle,He always wears the helmet on that fast-loved motorcycle.
__whisper__,the bride wore a fancy dress,the bribe wore a fancy dress.
__whisper__,the bride wore a fancy bed,the bright warder fancy bath.
__whisper__,when daddy cooks he adds pepper and duck,"When daddy cooks, he adds paper and duck."
__whisper__,when i get a cold i have a runny nose,"When I get a coke, I have a wrongly nose."
__whisper__,the swimmer was being chased by a giant shark,The swimmer was being chased by her giant shark.
__whisper__,at the picnic the crumbs attracted eggs,Add a picnic to the crowns of Tchectic X.
__whisper__,at the picnic the crumbs attracted ants,"At the picnic, the crumbs are checked the ends."
__whisper__,the pilot flew the rope,the pallet through the rope.
__whisper__,for halloween he carved a dress,"For Halloween, he cut off a dress."
__whisper__,at the zoo i saw a tall giraffe,"At the zoo, I saw a Toad giraffe."
__whisper__,at the zoo i saw a tall key,"Elazu, I saw a To-Ki."
__whisper__,at the haunted house i saw a bird,"At a haunted house, I saw a bird."
__whisper__,at the haunted house i saw a ghost,"At a haunted house, I saw a ghost."
__whisper__,sitting on the lilypad was a frog,Sitting on a lady pad was a frog.
__whisper__,grandma sits on her porch in a chair,Grandma sat on her porch in a chair.
__whisper__,the bunny nibbled a clown,The Bonnie and the Butterclaw.
__whisper__,the bunny nibbled a carrot,The brownie nibble a carrot.
__whisper__,for breakfast i scrambled the eggs,for breakfast at Scramble the X.
__whisper__,oink oink said the pig,"Oink oink, saddapick."
__whisper__,oink oink said the shoes,"Oink oink, sadder shoes."
__whisper__,to keep the sun out of my face i wear a train,"To get a sound out of my face, I wear a trend."
__whisper__,the boy put the groceries in a horse,The boy put a ghost race in a horse.
__whisper__,at valentines day we drew lots of pants,at Valentine's Day with lots of pants.
__whisper__,at dinner my family sits together at the man,"At dinner, my family sits together at a man."
__whisper__,we moved our furniture on the back of a flower,Remove our furniture on the back of a flower.
__whisper__,we moved our furniture on the back of a truck,removed our furniture on the back of a truck.
__whisper__,soldiers shoot with their glasses,so just shoot with their glasses.
__whisper__,she sleeps with her head on a fish,she sleeps with her head on the fish.
__whisper__,to see what time it is look at a pizza,"to see what it is, look at a pizza."
__whisper__,at the playground i like to go down the slide,"at the playground, I like to go down the slide."
__whisper__,at the playground the girl went on the swings,"At a point ground, the girl went on the swings."
__whisper__,at the playground the girl went on the oranges,"At a playground, the girl went on an orange."
__whisper__,i fell in the mud and have to put on a new shirt,I fail in the mod and have to put on a new shirt.
__whisper__,you can open the locked door with the shovel,you can open the lock door with the shovel.
__whisper__,the coloring book comes with a box of crayons,the coloring book comes with the box of crayons.
__whisper__,the coloring book comes with a box of hair,The coloring book counts with a box of hair.
__whisper__,for breakfast mommy poured me a bowl of cereal,"for breakfast, mommy pour me a bowl of cereal."
__whisper__,for breakfast mommy poured me a bowl of butterfly,"For breakfast, Mommy pour me a bowl of butterfly."
__whisper__,the caterpillar turned into a piano,the catapeter turning into a piano.
__whisper__,the caterpillar turned into a butterfly,the caterpillar turning into a butterfly.
__whisper__,at the circus the girl saw the truck,"At the circus, the girls sell the truck."
__whisper__,at the circus the girl saw the clown,"Add a searcher, the girl sold the crown."
__whisper__,kids sit in the backseat of the car,kids in the backseat of the car.
__whisper__,cows eat a lot of shell,cows ate a lot of shell.
__whisper__,cows eat a lot of grass,cows ate a lot of grass.
__whisper__,i have a spoon but i need a fork,I have a sprint but I need a fork.
__whisper__,i have a spoon but i need a web,I have a spawn but I need a weapon.
__whisper__,you can make juice from fresh squeezed oranges,you can make juice from fresh squeeze oranges.
__whisper__,you can make juice from fresh squeezed tape,you can make juice from fresh grape's tap.
__whisper__,to drive the car daddy turns the wheel,"to drive the car, they deterrence the wheel."
__whisper__,to drive the car daddy turns the hearts,to try the card that returns the heart.
__whisper__,the man checked the time on his stairs,The man checked the toy on his stairs.
__whisper__,the man checked the time on his watch,A man checked the toy on his watch.
__whisper__,the aquarium has many different swings,The Aquarian has many different strengths.
__whisper__,there are three bedrooms in their house,There are three patrons in their house.
__whisper__,there are three bedrooms in their carrot,There are 3 patterns in their character.
__whisper__,we roasted marshmallows over the fire,We roast the marshmallows over the fire.
__whisper__,we roasted marshmallows over the giraffe,We roasted the marshmallows over the giraffe.
__whisper__,the caterpillar is munching on a green cow,The caterpillar is munching on our green cow.
__whisper__,the brave knight killed the chair,The breath knight killed the chair.
__whisper__,the brave knight killed the dragon,The breath knight killed the dragon.
__whisper__,when recess ends the teacher rings the bell,"The recess ends, the teacher rings the bell."
__whisper__,the farmer milked the nose,The farmer makes the noise.
__whisper__,riding on a broom was an old mean witch,writing on the broom was an old main witch.
__whisper__,in the woods lived a big growly witch,"in a wood, deep a big growly witch."
__whisper__,in the woods lived a big growly bear,"in the woods, leave a big growly bear."
__whisper__,on christmas mommy left cookies for eyes,"on Christmas, Mommy Left Cookies for Ice."
__whisper__,on christmas mommy left cookies for santa,"On Christmas, let me laugh cookies for Santa."
__whisper__,there is one bathroom for the boys and one for girls,There is one bad one for the boys and one for girls.
__whisper__,mom likes to use the elevator instead of the stairs,Mom likes to use an elevator instead of the stairs.
__whisper__,the king wore a shiny gold crown,the King World of Shiny Gold Cron.
__whisper__,the king wore a shiny gold box,"The King World, a shiny gold box."
__whisper__,my teacher showed us fossils of an extinct crown,My teacher showed us fossils of an extinct scorn.
__whisper__,i put shampoo in my pig,I push shampooing my pig.
__whisper__,to play tug of war we pulled on the grass,"To play Tog of War, we put on the grass."
__whisper__,to play tug of war we pulled on the rope,to play Tog of War we put on the rope.
__whisper__,please sweep the floor with a snowman,please whip the floor with a snowman.
__whisper__,please sweep the floor with a broom,please whip the floor with a broom.
__whisper__,when i get a cold i have a runny nose,"When I get a code, I have a Ronnie knows."
__whisper__,the bee sat on the petals of the flower,the beads sat on the petals of the flower.
__whisper__,the bee sat on the petals of the watch,the beset on the petals of the watch.
__whisper__,first put on your socks then put on your shoes,"First, put on your socks and put on your shoes."
__whisper__,at the picnic the crumbs attracted eggs,"As a picnic, the crumbs attracted X."
__whisper__,at the picnic the crumbs attracted ants,"As a picnic, the crumbs attracted ants."
__whisper__,sitting on the lilypad was a bridge,Sitting on the Liddy Pad was a bridge.
__whisper__,sitting on the lilypad was a frog,Sitting on the lizard pad was a frog.
__whisper__,i fixed the torn page with a piece of tape,I fix up torn page with a piece of tape.
__whisper__,the bunny nibbled a clown,The Bunny Neboto Khan.
__whisper__,the bunny nibbled a carrot,the Bonnie Neboda Carrot.
__whisper__,the boy put the groceries in a horse,The boy puts their groceries in a horse.
__whisper__,the boy put the groceries in a bag,The boy puts the groceries in a bag.
__whisper__,she sleeps with her head on a fish,She slips with her head off fish.
__whisper__,to see what time it is look at a pizza,"to see what time it is. Look at it, pizza."
__whisper__,the vampire can turn into a bat,the vampire can turn into a beast.
__whisper__,the sound was so loud i had to cover my shirt,the sun was so loud I had to cover my shirt.
__whisper__,the sound was so loud i had to cover my ears,"The sun was so loud, I had to cover my ears."
__whisper__,i used three big snowballs to make a bear,I used 3 big snowballs to make a beer.
__whisper__,cows eat a lot of shell,Cows eat a lot of shells.
__whisper__,i have a spoon but i need a web,I have a spoon but I need a wab.
__whisper__,you can make juice from fresh squeezed tape,You can make juice from fresh squished tape.
__whisper__,the aquarium has many different swings,The aquarium has many different swims.
__whisper__,in the pond there was one quacking pillow,"In the pond, there was one quarking pillow."
__whisper__,in the pond there was one quacking duck,"In the pond, there was one caulking duck."
__whisper__,the brave knight killed the dragon,A brave knight killed a dragon.
__whisper__,the girl took lessons to play the piano,The girl took glasses to play the piano.
__whisper__,i like to bounce the slide,I like to bounce aside.
__whisper__,i went sailing on a ghost,I win sailing on a ghost.
